temps(ms),iterations,C,alpha,nombre d'enfants,simulations noeud racine,simulations noeud enfant sélectionné,position noeud racine,position noeud enfant sélectionné,recompenses,
50,835,3.0,0.4,45,835,19,0.0,0.5622163750330605,70.0,
50,4706,3.0,0.4,89,4706,55,0.5622163750330605,0.8505133716242272,140.0,
50,4944,3.0,0.4,91,4944,55,0.0,0.5626761050580305,70.0,
50,6198,3.0,0.4,99,6198,65,0.5626761050580305,0.7042340410789443,140.0,
50,5385,3.0,0.4,94,5385,58,0.0,0.7659328557864595,70.0,
50,6409,3.0,0.4,100,6409,69,0.7659328557864595,1.7133381465768376,170.0,
50,5402,3.0,0.4,94,5402,58,0.0,0.7440336484517689,70.0,
50,6435,3.0,0.4,101,6435,68,0.7440336484517689,1.7020664933349128,170.0,
50,5440,3.0,0.4,94,5440,58,0.0,0.43445539585452575,70.0,
50,6406,3.0,0.4,100,6406,66,0.43445539585452575,0.915348023074425,140.0,
50,5386,3.0,0.4,94,5386,58,0.0,0.8650745970865772,70.0,
50,6411,3.0,0.4,100,6411,67,0.8650745970865772,1.8576103193802984,170.0,
50,5622,3.0,0.4,95,5622,60,0.0,0.7236306928629833,70.0,
50,6446,3.0,0.4,101,6446,69,0.7236306928629833,1.7009094027172547,170.0,
50,5709,3.0,0.4,96,5709,60,0.0,0.716970594850559,70.0,
50,6474,3.0,0.4,101,6474,68,0.716970594850559,1.716834755896345,170.0,
50,5752,3.0,0.4,96,5752,60,0.0,0.8223671797457315,70.0,
50,6477,3.0,0.4,101,6477,68,0.8223671797457315,1.7221444846220622,170.0,
50,5861,3.0,0.4,97,5861,61,0.0,0.9973204425789864,70.0,
50,6426,3.0,0.4,101,6426,67,0.9973204425789864,1.910365675627527,170.0,
50,5783,3.0,0.4,96,5783,61,0.0,0.13257423073853347,70.0,
50,6431,3.0,0.4,101,6431,65,0.13257423073853347,0.9150793123562623,140.0,
50,6030,3.0,0.4,98,6030,62,0.0,0.1907492263777718,70.0,
50,6274,3.0,0.4,100,6274,64,0.1907492263777718,0.36842883031218654,140.0,
50,5884,3.0,0.4,97,5884,61,0.0,0.35236544792443003,70.0,
50,6301,3.0,0.4,100,6301,65,0.35236544792443003,0.8681621219353883,140.0,
50,5842,3.0,0.4,97,5842,61,0.0,0.9087399477443271,70.0,
50,6427,3.0,0.4,101,6427,68,0.9087399477443271,1.7598033364442562,170.0,
50,5735,3.0,0.4,96,5735,60,0.0,0.7161394255850361,70.0,
50,6364,3.0,0.4,100,6364,66,0.7161394255850361,0.950320956496094,140.0,
50,5960,3.0,0.4,98,5960,62,0.0,0.8956745558657307,70.0,
50,6464,3.0,0.4,101,6464,68,0.8956745558657307,1.7607211674309573,170.0,
50,5886,3.0,0.4,97,5886,61,0.0,0.2173397652924841,70.0,
50,6435,3.0,0.4,101,6435,65,0.2173397652924841,0.3241634397682396,140.0,
50,5948,3.0,0.4,98,5948,62,0.0,0.6307033213021784,70.0,
50,6371,3.0,0.4,100,6371,66,0.6307033213021784,0.6376090043435713,140.0,
50,5908,3.0,0.4,97,5908,61,0.0,0.37073962979801844,70.0,
50,6509,3.0,0.4,101,6509,66,0.37073962979801844,0.4297981912752945,140.0,
50,5465,3.0,0.4,94,5465,59,0.0,0.41798332684466843,70.0,
50,6486,3.0,0.4,101,6486,66,0.41798332684466843,0.6811590433469064,140.0,
50,5972,3.0,0.4,98,5972,62,0.0,0.4660987691548141,70.0,
50,6495,3.0,0.4,101,6495,66,0.4660987691548141,0.4856775439410089,140.0,
50,5990,3.0,0.4,98,5990,62,0.0,0.6853664092004644,70.0,
50,6492,3.0,0.4,101,6492,67,0.6853664092004644,0.7017058661908839,140.0,
50,5933,3.0,0.4,97,5933,62,0.0,0.054574955539389625,70.0,
50,6528,3.0,0.4,101,6528,65,0.054574955539389625,0.31578514692072757,140.0,
50,5979,3.0,0.4,98,5979,62,0.0,0.7698189476143341,70.0,
50,6484,3.0,0.4,101,6484,68,0.7698189476143341,1.7027919592637724,170.0,
50,5966,3.0,0.4,98,5966,62,0.0,0.24152611359422227,70.0,
50,6520,3.0,0.4,101,6520,66,0.24152611359422227,0.660324192990957,140.0,
50,5973,3.0,0.4,98,5973,62,0.0,0.8567584882206742,70.0,
50,6412,3.0,0.4,100,6412,67,0.8567584882206742,1.709653241020427,170.0,
50,5985,3.0,0.4,98,5985,62,0.0,0.9030067991793529,70.0,
50,6449,3.0,0.4,101,6449,68,0.9030067991793529,1.8559065190589494,170.0,
50,5957,3.0,0.4,98,5957,62,0.0,0.0585572411702886,70.0,
50,6555,3.0,0.4,101,6555,66,0.0585572411702886,0.2140907089904781,140.0,
50,5944,3.0,0.4,97,5944,62,0.0,0.5412890986832992,70.0,
50,6468,3.0,0.4,101,6468,66,0.5412890986832992,0.9198165088715279,140.0,
50,5877,3.0,0.4,97,5877,61,0.0,0.7346008500108197,70.0,
50,6437,3.0,0.4,101,6437,68,0.7346008500108197,1.7132960733635372,170.0,
50,5954,3.0,0.4,98,5954,62,0.0,0.05178593098236306,70.0,
50,6456,3.0,0.4,101,6456,65,0.05178593098236306,0.9431767154742852,140.0,
50,5979,3.0,0.4,98,5979,62,0.0,0.27737418594670293,70.0,
50,6493,3.0,0.4,101,6493,66,0.27737418594670293,0.7951114111404167,140.0,
50,6034,3.0,0.4,98,6034,62,0.0,0.9436305841050533,70.0,
50,6434,3.0,0.4,101,6434,69,0.9436305841050533,1.8913564115378172,170.0,
50,5882,3.0,0.4,97,5882,61,0.0,0.7619045436736287,70.0,
50,6501,3.0,0.4,101,6501,69,0.7619045436736287,1.7360196201052815,170.0,
50,5930,3.0,0.4,97,5930,62,0.0,0.5498537457418341,70.0,
50,6450,3.0,0.4,101,6450,66,0.5498537457418341,0.6322660414115817,140.0,
50,6030,3.0,0.4,98,6030,62,0.0,0.49477339406211673,70.0,
50,6501,3.0,0.4,101,6501,66,0.49477339406211673,0.8715250553336518,140.0,
50,5894,3.0,0.4,97,5894,61,0.0,0.4777590007347069,70.0,
50,6498,3.0,0.4,101,6498,66,0.4777590007347069,0.4892316648997451,140.0,
50,5945,3.0,0.4,98,5945,62,0.0,0.9790238854651498,70.0,
50,6128,3.0,0.4,99,6128,65,0.9790238854651498,1.9334816574383584,170.0,
50,5972,3.0,0.4,98,5972,62,0.0,0.912142415233618,70.0,
50,6452,3.0,0.4,101,6452,68,0.912142415233618,1.8054619734531105,170.0,
50,5917,3.0,0.4,97,5917,61,0.0,0.958479426565145,70.0,
50,6441,3.0,0.4,101,6441,67,0.958479426565145,1.955450430156739,170.0,
50,5993,3.0,0.4,98,5993,62,0.0,0.198282922707254,70.0,
50,6535,3.0,0.4,101,6535,66,0.198282922707254,0.7133874764373709,140.0,
50,5951,3.0,0.4,98,5951,62,0.0,0.6488726042416041,70.0,
50,6492,3.0,0.4,101,6492,67,0.6488726042416041,0.9380316901835597,140.0,
50,5908,3.0,0.4,97,5908,61,0.0,0.4128519330144399,70.0,
50,6507,3.0,0.4,101,6507,66,0.4128519330144399,0.5703088862219685,140.0,
50,5951,3.0,0.4,98,5951,62,0.0,0.5272640381287959,70.0,
50,6496,3.0,0.4,101,6496,67,0.5272640381287959,0.615542567002382,140.0,
50,5917,3.0,0.4,97,5917,61,0.0,0.41289255949344694,70.0,
50,6500,3.0,0.4,101,6500,66,0.41289255949344694,0.883947334749818,140.0,
50,5966,3.0,0.4,98,5966,62,0.0,0.5595485385288002,70.0,
50,6511,3.0,0.4,101,6511,67,0.5595485385288002,0.7251425520697491,140.0,
50,5961,3.0,0.4,98,5961,62,0.0,0.27802015065729424,70.0,
50,6535,3.0,0.4,101,6535,66,0.27802015065729424,0.642434549145945,140.0,
50,5908,3.0,0.4,97,5908,61,0.0,0.2202898785261237,70.0,
